"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/01/2025","1.465.571","1.357.613","1.477.193","1.356.073","","7,95%"
"01/12/2024","1.357.613","1.351.504","1.397.846","1.331.355","","0,48%"
"01/11/2024","1.351.090","1.388.445","1.400.799","1.117.565","","-2,70%"
"01/10/2024","1.388.652","1.288.335","1.410.355","1.286.046","","7,78%"
"01/09/2024","1.288.365","1.250.141","1.306.246","1.154.047","","3,06%"
"01/08/2024","1.250.141","1.278.391","1.289.000","1.145.583","","-2,24%"
"01/07/2024","1.278.844","1.222.114","1.288.723","1.219.059","","4,63%"
"01/06/2024","1.222.195","1.216.433","1.254.386","1.197.154","","0,49%"
"01/05/2024","1.216.236","1.199.616","1.258.255","1.033.294","","1,46%"
"01/04/2024","1.198.769","1.144.636","1.266.303","1.141.716","","4,75%"
"01/03/2024","1.144.430","1.032.577","1.145.381","306.901","","10,82%"
"01/02/2024","1.032.718","1.034.637","1.044.355","994.360","","-0,18%"
"01/01/2024","1.034.609","1.020.702","1.044.271","1.006.608","","1,36%"
"01/12/2023","1.020.702","1.020.516","1.063.470","886.453","","0,02%"
"01/11/2023","1.020.548","1.010.786","1.063.628","925.826","","0,96%"
"01/10/2023","1.010.881","920.863","1.028.130","908.530","","9,78%"
"01/09/2023","920.863","950.486","962.590","920.286","","-3,08%"
"01/08/2023","950.151","954.169","954.470","926.466","","-0,42%"
"01/07/2023","954.199","928.158","958.038","856.520","","2,79%"
"01/06/2023","928.273","947.761","950.547","888.427","","-2,06%"
"01/05/2023","947.792","937.032","977.874","930.662","","1,14%"
"01/04/2023","937.120","949.294","975.050","932.475","","-1,31%"
"01/03/2023","949.535","894.931","992.871","893.955","","6,07%"
"01/02/2023","895.158","928.900","942.246","885.476","","-3,63%"
"01/01/2023","928.828","912.691","942.390","908.351","","1,77%"
"01/12/2022","912.691","897.207","922.850","878.209","","1,75%"
"01/11/2022","896.979","818.105","896.979","815.978","","9,57%"
"01/10/2022","818.666","813.035","847.731","809.352","","0,67%"
"01/09/2022","813.194","815.480","827.916","787.860","","-0,26%"
"01/08/2022","815.299","840.320","863.706","814.573","","-2,98%"
"01/07/2022","840.381","865.411","873.157","812.597","","-2,89%"
"01/06/2022","865.396","860.891","882.889","853.044","","0,52%"
"01/05/2022","860.950","884.099","889.913","840.087","","-2,65%"
"01/04/2022","884.360","894.628","922.026","872.431","","-1,17%"
"01/03/2022","894.858","880.496","957.625","872.885","","1,64%"
"01/02/2022","880.439","831.280","912.656","827.050","","5,90%"
"01/01/2022","831.380","838.375","855.232","821.644","","-0,83%"
"01/12/2021","838.375","816.669","838.617","809.170","","2,67%"
"01/11/2021","816.540","811.302","858.253","809.296","","0,71%"
"01/10/2021","810.749","806.896","824.584","798.611","","0,50%"
"01/09/2021","806.695","832.352","840.946","791.169","","-3,09%"
"01/08/2021","832.376","843.457","844.966","778.866","","-1,31%"
"01/07/2021","843.425","824.485","854.744","584.149","","2,31%"
"01/06/2021","824.354","875.878","879.805","814.214","","-5,89%"
"01/05/2021","875.964","821.545","881.021","820.346","","6,62%"
"01/04/2021","821.545","797.379","839.834","796.682","","3,03%"
"01/03/2021","797.393","797.633","813.596","774.306","","0,02%"
"01/02/2021","797.205","837.128","843.429","787.366","","-4,77%"
"01/01/2021","837.104","857.674","875.065","816.539","","-2,40%"
"01/12/2020","857.674","807.546","867.506","806.749","","6,21%"
"01/11/2020","807.492","883.326","902.784","800.656","","-8,61%"
"01/10/2020","883.569","903.182","918.331","874.809","","-2,20%"